"Centro Uned";"A";"B";"C";"D";"E";"F";"TOTAL"
"ALBACETE";139;60;52;52;;;303
"ALCIRA";96;20;20;;;;136
"ALGECIRAS";8;132;65;;;;205
"ALMERÍA";120;60;50;30;30;;290
"ÁVILA";80;50;;;;;130
"BARBASTRO";80;60;;;;;140
"BARCELONA (NOU BARRIS)";170;130;70;;;;370
"BARCELONA-SANT BOI DE LLOBREGAT";80;50;;;;;130
"BARCELONA-STA. COLOMA DE GRAMENET";85;60;70;;;;215
"BAZA";65;16;15;15;;;111
"BERGARA";110;;;;;;110
"BURGOS";90;35;25;25;;;175
"CÁDIZ";86;79;36;34;22;;257
"CALATAYUD";214;147;44;40;;;445
"CANTABRIA";120;36;36;160;;;352
"CARTAGENA";220;120;120;;;;460
"CASTELLÓN (VILLARREAL)";46;40;25;25;;;136
"CERVERA";100;100;60;40;40;;340
"CEUTA";130;;;;;;130
"CÓRDOBA";210;40;;;;;250
"CORUÑA, LA";130;86;55;30;;;301
"CUENCA";45;25;;;;;70
"DENIA";130;80;50;;;;260
"ELCHE";318;100;65;50;45;;578
"FUERTEVENTURA";80;70;30;30;30;;240
"GIJÓN";256;80;30;;;;366
"GIRONA";96;15;;;;;111
"GOMERA, LA";20;;;;;;20
"GUADALAJARA";200;50;40;;;;290
"HIERRO, EL";15;;;;;;15
"HUELVA";100;27;38;15;46;;226
"IBIZA";40;24;15;;;;79
"LANZAROTE";90;40;;;;;130
"LUGO";82;24;24;;;;130
"MADRID (I.E. FISCALES)";100;30;30;;;;160
"MADRID (RAMÓN ARECES)";36;24;24;16;12;;112
"MADRID-EE. PÍAS (APELLIDOS: P - R)";130;130;;;;;260
"MADRID-GREGORIO MARAÑÓN (APELLIDOS: S - Z)";90;102;159;51;;;402
"MADRID-POZUELO DE ALARCÓN";65;40;40;40;;;185
"MADRID-JACINTO VERDAGUER (APELLIDOS: G - O)";364;153;132;106;74;;829
"MADRID-LAS TABLAS (APELLIDOS: A - F)";260;260;57;57;;;634
"MADRID-SUR";470;50;30;30;;;580
"MÁLAGA";155;100;100;25;25;;405
"MARBELLA";;;;;;;405
"MELILLA";90;50;40;;;;180
"MENORCA (MAHÓN)";40;26;10;10;;;86
"MÉRIDA";150;50;90;50;;;340
"MOTRIL";120;42;25;;;;187
"ORENSE";115;25;;;;;140
"PALENCIA";87;60;60;;;;207
"PALMA DE MALLORCA";115;90;60;;;;265
"PALMA, LA";48;;;;;;48
"PALMAS, LAS";260;30;20;;;;310
"PAMPLONA";120;80;32;;;;232
"PLASENCIA";140;62;48;42;;;292
"PONFERRADA";280;114;112;74;;;580
"PONTEVEDRA";125;40;30;30;;;225
"RIOJA, LA";100;15;;;;;115
"SEGOVIA";50;10;10;10;;;80
"SEO DE URGEL";56;12;12;;;;80
"SEVILLA";92;84;77;70;60;60;443
"SORIA";90;;;;;;90
"TALAVERA DE LA REINA";115;40;;;;;155
"TENERIFE";90;45;35;25;110;;305
"TERUEL";85;25;;;;;110
"TORTOSA";78;72;62;52;;;264
"TUDELA";60;45;45;90;;;240
"ÚBEDA";150;40;40;;;;230
"VALDEPEÑAS";120;120;30;;;;270
"VALENCIA";210;120;112;;;;442
"VITORIA";150;100;;;;;250
"VIZCAYA";245;48;;;;;293
"ZAMORA";96;33;;;;;129
