"GradeCode";"Name";"CourseCode";"Name";"Year";"Type"
7002;"Grado en Antropología Social y Cultural";"70021015";"Antropología social y cultural";1;"Básica"
7002;"Grado en Antropología Social y Cultural";"70021038";"Geografía Humana";1;"Básica"
7002;"Grado en Antropología Social y Cultural";"70021044";"Historia de la Teoría Sociológica";1;"Básica"
7002;"Grado en Antropología Social y Cultural";"70021050";"Historia de la Antropología I";1;"Básica"
7002;"Grado en Antropología Social y Cultural";"70021073";"Lingüística";1;"Básica"
7002;"Grado en Antropología Social y Cultural";"7002201-";"Historia de la Antropología II";2;"Obligatoria"
7002;"Grado en Antropología Social y Cultural";"70022026";"Antropología del Parentesco I";2;"Obligatoria"
7002;"Grado en Antropología Social y Cultural";"70022032";"Antropología Cognitiva y Simbólica I";2;"Obligatoria"
7002;"Grado en Antropología Social y Cultural";"70022049";"Antropología Económica I";2;"Obligatoria"
7002;"Grado en Antropología Social y Cultural";"70022055";"Antropología Política I";2;"Obligatoria"
7002;"Grado en Antropología Social y Cultural";"70022061";"Conocimiento Etnográfico: Antropología del Parentesco";2;"Obligatoria"
7002;"Grado en Antropología Social y Cultural";"70023014";"Antropología y Comparación Cultural";3;"Obligatoria"
7002;"Grado en Antropología Social y Cultural";"70023020";"Evolución Humana I";3;"Obligatoria"
7002;"Grado en Antropología Social y Cultural";"70023072";"Conocimiento Etnográfico: Antropología Económica";3;"Obligatoria"
7002;"Grado en Antropología Social y Cultural";"70023089";"Antropología de la Religión";3;"Obligatoria"
7002;"Grado en Antropología Social y Cultural";"70023095";"Antropología y Perspectivas de Género";3;"Obligatoria"
7002;"Grado en Antropología Social y Cultural";"70023103";"Tiempo y Teoría de la Cultura: Etnohistoria";3;"Obligatoria"
7002;"Grado en Antropología Social y Cultural";"69023078";"Cambio Social I";4;"Optativa"
7002;"Grado en Antropología Social y Cultural";"69024149";"Sociología Rural";4;"Optativa"
7002;"Grado en Antropología Social y Cultural";"69903023";"Población I: Teoría de la Población";4;"Optativa"
7002;"Grado en Antropología Social y Cultural";"70012134";"Antropología Filosófica";4;"Optativa"
7002;"Grado en Antropología Social y Cultural";"70013116";"Estética y Teoría del Arte I";4;"Optativa"
7002;"Grado en Antropología Social y Cultural";"70024054";"Antropología Crítica y de la Modernidad";4;"Optativa"
7002;"Grado en Antropología Social y Cultural";"70024077";"Antropología Urbana";4;"Optativa"
7002;"Grado en Antropología Social y Cultural";"70024114";"Antropología del Mundo Árabe Musulmán";4;"Optativa"
7002;"Grado en Antropología Social y Cultural";"70024120";"Antropología y Colonialismo de África Subsahariana";4;"Optativa"
7002;"Grado en Antropología Social y Cultural";"70024137";"Migraciones I";4;"Obligatoria"
7002;"Grado en Antropología Social y Cultural";"70024143";"Movimientos Indigenistas y Pueblos Indígenas";4;"Obligatoria"
7002;"Grado en Antropología Social y Cultural";"70024166";"Antropología de la Alimentación";4;"Optativa"
7002;"Grado en Antropología Social y Cultural";"70024189";"Interculturalidad, Escuela y Educación";4;"Optativa"
6402;"Grado en Estudios Ingleses: Lengua, Literatura y Cultura";"64021034";"Literatura Inglesa I: Ejes de la Literatura Medieval y Renacentista";1;"Obligatoria"
6402;"Grado en Estudios Ingleses: Lengua, Literatura y Cultura";"64021040";"Mundos Anglófonos en Perspectiva Histórica y Cultural";1;"Obligatoria"
6402;"Grado en Estudios Ingleses: Lengua, Literatura y Cultura";"64021011";"Inglés Instrumental I";1;"Básica"
6402;"Grado en Estudios Ingleses: Lengua, Literatura y Cultura";"64021028";"Comentario de Textos Literarios en Lengua Inglesa";1;"Obligatoria"
6402;"Grado en Estudios Ingleses: Lengua, Literatura y Cultura";"64901019";"El Lenguaje Humano";1;"Básica"
6402;"Grado en Estudios Ingleses: Lengua, Literatura y Cultura";"64901025";"Comunicación Oral y Escrita en Lengua Española I";1;"Básica"
6402;"Grado en Estudios Ingleses: Lengua, Literatura y Cultura";"64022051";"Literatura Inglesa II: Ilustración, Romanticismo y Época Victoriana";2;"Obligatoria"
6402;"Grado en Estudios Ingleses: Lengua, Literatura y Cultura";"64022140";"Literatura Norteamericana I: Siglos XVII-XIX";2;"Obligatoria"
6402;"Grado en Estudios Ingleses: Lengua, Literatura y Cultura";"64011030";"Lengua Extranjera I: Aleman";2;"Básica"
6402;"Grado en Estudios Ingleses: Lengua, Literatura y Cultura";"64022016";"Inglés Instrumental III";2;"Obligatoria"
6402;"Grado en Estudios Ingleses: Lengua, Literatura y Cultura";"64022039";"Lengua Extranjera I: Italiano";2;"Básica"
6402;"Grado en Estudios Ingleses: Lengua, Literatura y Cultura";"64022045";"Lengua Clásica I: Griego";2;"Básica"
6402;"Grado en Estudios Ingleses: Lengua, Literatura y Cultura";"64022157";"Lengua Clásica I: Latín";2;"Básica"
6402;"Grado en Estudios Ingleses: Lengua, Literatura y Cultura";"64022163";"Lengua Extranjera I: Francés";2;"Básica"
6402;"Grado en Estudios Ingleses: Lengua, Literatura y Cultura";"6402217-";"Género y Literatura en los Países de Habla Inglesa";2;"Básica"
6402;"Grado en Estudios Ingleses: Lengua, Literatura y Cultura";"64023056";"Literatura Norteamericana II: Modenra y Contemporánea";3;"Obligatoria"
6402;"Grado en Estudios Ingleses: Lengua, Literatura y Cultura";"64023010";"Inglés Instrumental V";3;"Obligatoria"
6402;"Grado en Estudios Ingleses: Lengua, Literatura y Cultura";"64023027";"Semántica Inglesa";3;"Obligatoria"
6402;"Grado en Estudios Ingleses: Lengua, Literatura y Cultura";"64023033";"Sociolingüistica de la Lengua Inglesa";3;"Obligatoria"
