"CONVOCATORIA_Grupo";"SEMANA_Grupo";"TRIBUNAL_Grupo";"LITERAL_EXAMEN";"EXAMEN_Detalle";"MODELO_Detalle";"MATRICULADOS_Detalle";"PRESENTADOS_Detalle"
"FEBRERO";"1ª Semana";"MADRID-EE. PÍAS (APELLIDOS: P - R)";"AMPLIACIÓN DE SISTEMAS INTELIGENTES";"71014069 - AMPLIACIÓN DE SISTEMAS INTELIGENTES";"NACIONAL PRIMERA SEMANA";4;1
"FEBRERO";"1ª Semana";"MADRID-EE. PÍAS (APELLIDOS: P - R)";"APLICACIONES DISTRIBUIDAS";"71023022 - APLICACIONES DISTRIBUIDAS";"NACIONAL PRIMERA SEMANA";3;2
"FEBRERO";"1ª Semana";"MADRID-EE. PÍAS (APELLIDOS: P - R)";"APRENDIZAJE AUTOMÁTICO";"71014023 - APRENDIZAJE AUTOMÁTICO";"NACIONAL PRIMERA SEMANA";7;1
"FEBRERO";"1ª Semana";"MADRID-EE. PÍAS (APELLIDOS: P - R)";"COMPLEJIDAD Y COMPUTABILIDAD";"71014017 - COMPLEJIDAD Y COMPUTABILIDAD";"NACIONAL PRIMERA SEMANA";3;1
"FEBRERO";"1ª Semana";"MADRID-EE. PÍAS (APELLIDOS: P - R)";"DISEÑO DEL SOFTWARE";"71013035 - DISEÑO DEL SOFTWARE";"NACIONAL PRIMERA SEMANA";7;1
"FEBRERO";"1ª Semana";"MADRID-EE. PÍAS (APELLIDOS: P - R)";"DISEÑO Y ADMINISTRACIÓN DE SISTEMAS OPERATIVOS";"71013012 - DISEÑO Y ADMINISTRACIÓN DE SISTEMAS OPERATIVOS";"NACIONAL PRIMERA SEMANA";4;1
"FEBRERO";"1ª Semana";"MADRID-EE. PÍAS (APELLIDOS: P - R)";"FUNDAMENTOS DE PROGRAMACIÓN";"71901020 - FUNDAMENTOS DE PROGRAMACIÓN";"NACIONAL PRIMERA SEMANA";33;4
"FEBRERO";"1ª Semana";"MADRID-EE. PÍAS (APELLIDOS: P - R)";"FUNDAMENTOS MATEMÁTICOS DE LA INFORMÁTICA";"7101102- - FUNDAMENTOS MATEMÁTICOS DE LA INFORMÁTICA";"NACIONAL PRIMERA SEMANA";21;2
"FEBRERO";"1ª Semana";"MADRID-EE. PÍAS (APELLIDOS: P - R)";"GESTIÓN DE BASES DE DATOS";"71023045 - GESTIÓN DE BASES DE DATOS";"NACIONAL PRIMERA SEMANA";1;1
"FEBRERO";"1ª Semana";"MADRID-EE. PÍAS (APELLIDOS: P - R)";"INGENIERÍA DE FACTORES HUMANOS EN SISTEMAS INFORMÁTICOS";"71024027 - INGENIERÍA DE FACTORES HUMANOS EN SISTEMAS INFORMÁTICOS";"NACIONAL PRIMERA SEMANA";3;2
"FEBRERO";"1ª Semana";"MADRID-EE. PÍAS (APELLIDOS: P - R)";"LÓGICA Y ESTRUCTURAS DISCRETAS";"71901037 - LÓGICA Y ESTRUCTURAS DISCRETAS";"NACIONAL PRIMERA SEMANA";37;5
"FEBRERO";"1ª Semana";"MADRID-EE. PÍAS (APELLIDOS: P - R)";"MATEMÁTICA DISCRETA";"61021051 - MATEMÁTICA DISCRETA";"NACIONAL PRIMERA SEMANA";18;2
"FEBRERO";"1ª Semana";"MADRID-EE. PÍAS (APELLIDOS: P - R)";"REDES Y COMUNICACIONES";"71022034 - REDES Y COMUNICACIONES";"NACIONAL PRIMERA SEMANA";4;1
"FEBRERO";"1ª Semana";"MADRID-EE. PÍAS (APELLIDOS: P - R)";"SISTEMAS DISTRIBUIDOS";"71013029 - SISTEMAS DISTRIBUIDOS";"NACIONAL PRIMERA SEMANA";8;2
"FEBRERO";"2ª Semana";"MADRID-EE. PÍAS (APELLIDOS: P - R)";"AMPLIACIÓN DE SISTEMAS INTELIGENTES";"71014069 - AMPLIACIÓN DE SISTEMAS INTELIGENTES";"NACIONAL - U.E. SEGUNDA SEMANA";4;1
"FEBRERO";"2ª Semana";"MADRID-EE. PÍAS (APELLIDOS: P - R)";"APRENDIZAJE AUTOMÁTICO";"71014023 - APRENDIZAJE AUTOMÁTICO";"NACIONAL - U.E. SEGUNDA SEMANA";7;3
"FEBRERO";"2ª Semana";"MADRID-EE. PÍAS (APELLIDOS: P - R)";"CALIDAD DEL SOFTWARE";"71023039 - CALIDAD DEL SOFTWARE";"NACIONAL - U.E. SEGUNDA SEMANA";3;1
"FEBRERO";"2ª Semana";"MADRID-EE. PÍAS (APELLIDOS: P - R)";"COMPLEJIDAD Y COMPUTABILIDAD";"71014017 - COMPLEJIDAD Y COMPUTABILIDAD";"NACIONAL - U.E. SEGUNDA SEMANA";3;1
"FEBRERO";"2ª Semana";"MADRID-EE. PÍAS (APELLIDOS: P - R)";"DISEÑO DEL SOFTWARE";"71013035 - DISEÑO DEL SOFTWARE";"NACIONAL - U.E. SEGUNDA SEMANA";7;3
"FEBRERO";"2ª Semana";"MADRID-EE. PÍAS (APELLIDOS: P - R)";"DISEÑO Y ADMINISTRACIÓN DE SISTEMAS OPERATIVOS";"71013012 - DISEÑO Y ADMINISTRACIÓN DE SISTEMAS OPERATIVOS";"NACIONAL - U.E. SEGUNDA SEMANA";4;1
"FEBRERO";"2ª Semana";"MADRID-EE. PÍAS (APELLIDOS: P - R)";"FUNDAMENTOS DE PROGRAMACIÓN";"71901020 - FUNDAMENTOS DE PROGRAMACIÓN";"NACIONAL - U.E. SEGUNDA SEMANA";33;6
"FEBRERO";"2ª Semana";"MADRID-EE. PÍAS (APELLIDOS: P - R)";"FUNDAMENTOS DE SISTEMAS DIGITALES";"71901014 - FUNDAMENTOS DE SISTEMAS DIGITALES";"NACIONAL - U.E. SEGUNDA SEMANA";28;11
"FEBRERO";"2ª Semana";"MADRID-EE. PÍAS (APELLIDOS: P - R)";"FUNDAMENTOS FÍSICOS DE LA INFORMÁTICA";"71011013 - FUNDAMENTOS FÍSICOS DE LA INFORMÁTICA";"NACIONAL - U.E. SEGUNDA SEMANA";22;4
"FEBRERO";"2ª Semana";"MADRID-EE. PÍAS (APELLIDOS: P - R)";"FUNDAMENTOS FÍSICOS DE LAS TECNOLOGÍAS DE LA INFORMACIÓN";"71021017 - FUNDAMENTOS FÍSICOS DE LAS TECNOLOGÍAS DE LA INFORMACIÓN";"NACIONAL - U.E. SEGUNDA SEMANA";9;2
"FEBRERO";"2ª Semana";"MADRID-EE. PÍAS (APELLIDOS: P - R)";"FUNDAMENTOS MATEMÁTICOS DE LA INFORMÁTICA";"7101102- - FUNDAMENTOS MATEMÁTICOS DE LA INFORMÁTICA";"NACIONAL - U.E. SEGUNDA SEMANA";21;4
"FEBRERO";"2ª Semana";"MADRID-EE. PÍAS (APELLIDOS: P - R)";"FUNDAMENTOS MATEMÁTICOS DE LAS TECNOLOGÍAS DE LA INFORMACIÓN";"71021023 - FUNDAMENTOS MATEMÁTICOS DE LAS TECNOLOGÍAS DE LA INFORMACIÓN";"NACIONAL - U.E. SEGUNDA SEMANA";2;1
